eco,name,fen,white,draw,black
A33,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Geller Variation",r1bqkb1r/pp1ppppp/2n2n2/2p5/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 4,10,13,2
A33,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Geller Variation",r1bqkb1r/pp1ppppp/2n2n2/8/2PN4/2N5/PP2PPPP/R1BQKB1R b KQkq - 0 5,12,21,6
A33,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Geller Variation",r1bqkb1r/pp1ppppp/2n2n2/8/2Pp4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,10,13,2
A33,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Geller Variation",r1bqkb1r/pp1p1ppp/2n1pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 6,11,19,6
A38,"English Opening: Symmetrical Variation, Duchamp Variation",rnbqkb1r/pp1ppppp/5n2/2p5/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,15,18,11
A38,"English Opening: Symmetrical Variation, Full Symmetry Line",r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq - 2 3,20,34,10
A38,"English Opening: Symmetrical Variation, Full Symmetry Line",rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,18,19,12
A38,"English Opening: Symmetrical Variation, Full Symmetry Line",r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 3,11,10,7
A38,"English Opening: Symmetrical Variation, Full Symmetry Line",r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 3 4,22,46,7
A38,"English Opening: Symmetrical Variation, Full Symmetry Line",r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq - 0 4,10,22,4
A30,"English Opening: Symmetrical Variation, Hedgehog Defense",rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq - 1 6,8,9,8
A34,"English Opening: Symmetrical Variation, Rubinstein Variation",r1bqkb1r/pp2pppp/2n5/2pn4/8/2N2NP1/PP1PPPBP/R1BQK2R b KQkq - 3 6,14,14,6
A34,"English Opening: Symmetrical Variation, Rubinstein Variation",r1bqkb1r/ppn1pppp/2n5/2p5/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 4 7,10,15,6
A34,"English Opening: Symmetrical Variation, Three Knights Variation",r1bq1rk1/pp2ppbp/2np1np1/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 b - - 6 9,13,10,5
A34,"English Opening: Symmetrical Variation, Three Knights Variation",rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq - 2 3,32,55,14
A34,"English Opening: Symmetrical Variation, Three Knights Variation",rnbqkb1r/pp1ppppp/5n2/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 1 3,38,72,19
A37,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",rnbqk1nr/pp1pppbp/6p1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq - 1 4,15,21,14
A37,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",r1bqk1nr/pp2ppbp/2np2p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq - 1 6,10,20,7
A37,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 1 5,8,19,7
A37,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",rnbqkbnr/pp1ppp1p/6p1/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,10,12,11
A37,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",r1bqk1nr/pp2ppbp/2np2p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 0 6,13,19,11
A37,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq - 2 5,18,25,14
A37,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",r1bqkbnr/pp1ppppp/2n5/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 1 3,29,51,19
A36,"English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",rnbqkbnr/pp1ppp1p/6p1/2p5/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 1 3,7,12,7
A36,"English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",rnbqkbnr/pp1ppp1p/6p1/2p5/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 0 3,7,12,7
A36,"English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",rnbqkbnr/pp1ppppp/8/2p5/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 0 2,13,13,14
A36,"English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 5,20,27,20
C47,"Four Knights Game",r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N1P/PPPP1PP1/R1BQKB1R b KQkq - 0 4,12,17,11
