eco,name,fen,white,draw,black
C10,"French Defense: Rubinstein Variation, Blackburne Defense",r1bqkb1r/pppn1ppp/4pn2/8/3PN3/5N2/PPP2PPP/R1BQKB1R w KQkq - 3 6,13,16,3
C10,"French Defense: Rubinstein Variation, Blackburne Defense",r1bqkbnr/pppn1ppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,14,18,5
C10,"French Defense: Rubinstein Variation, Blackburne Defense",rnbqkbnr/ppp2ppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4,31,35,8
C10,"French Defense: Rubinstein Variation, Blackburne Defense",r1bqkb1r/pppn1ppp/4pN2/8/3P4/5N2/PPP2PPP/R1BQKB1R b KQkq - 0 6,9,14,2
C10,"French Defense: Rubinstein Variation, Blackburne Defense",r1bqkb1r/ppp2ppp/4pn2/8/3P4/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 7,9,14,2
C10,"French Defense: Rubinstein Variation, Blackburne Defense",r1bqkbnr/pppn1ppp/4p3/8/3PN3/5N2/PPP2PPP/R1BQKB1R b KQkq - 2 5,13,16,3
C10,"French Defense: Rubinstein Variation, Blackburne Defense",rnbqkbnr/ppp2ppp/4p3/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,27,28,6
C10,"French Defense: Rubinstein Variation, Blackburne Defense",rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,320,289,118
C10,"French Defense: Rubinstein Variation, Fort Knox Variation",rn1qkbnr/pppb1ppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,8,15,3
C10,"French Defense: Rubinstein Variation, Fort Knox Variation",rn1qkbnr/pppb1ppp/4p3/8/3PN3/5N2/PPP2PPP/R1BQKB1R b KQkq - 2 5,8,15,3
C10,"French Defense: Rubinstein Variation, Fort Knox Variation",rn1qkbnr/ppp2ppp/2b1p3/8/3PN3/5N2/PPP2PPP/R1BQKB1R w KQkq - 3 6,8,15,3
C00,"French Defense: Steiner Variation",rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,222,214,95
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",r1bqkb1r/pp1n1ppp/2n1p3/3pP3/3N1P2/2N1B3/PPP3PP/R2QKB1R b KQkq - 0 8,21,19,4
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/2N2N2/PPP3PP/R1BQKB1R b KQkq - 1 6,85,66,37
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",r1bqkb1r/1p1n1ppp/p1n1p3/2ppP3/3P1P2/4BN2/PPP1N1PP/R2QKB1R b KQkq - 1 8,12,7,7
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/2N5/PPP3PP/R1BQKBNR w KQkq - 0 6,86,69,39
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2N1BN2/PPP3PP/R2QKB1R b KQkq - 3 7,81,63,33
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",rnbqkb1r/ppp2ppp/4pn2/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,98,81,44
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2N2N2/PPP3PP/R1BQKB1R w KQkq - 2 7,81,63,34
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",rnbqkb1r/pppn1ppp/4p3/3pP3/3P1P2/2N5/PPP3PP/R1BQKBNR b KQkq - 0 5,86,69,39
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P1P2/2N1BN2/PPP3PP/R2QKB1R w KQkq - 4 8,16,11,3
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",r1b1kb1r/pp1n1ppp/1qn1p3/3pP3/3N1P2/2N1B3/PPP3PP/R2QKB1R w KQkq - 1 9,12,19,1
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",r1bqkb1r/1p1n1ppp/p1n1p3/2ppP3/3P1P2/2N1BN2/PPP3PP/R2QKB1R w KQkq - 0 8,28,22,16
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5,96,79,44
C11,"French Defense: Steinitz Variation, Boleslavsky Variation",r1bqkb1r/pp1n1ppp/2n1p3/3pP3/3p1P2/2N1BN2/PPP3PP/R2QKB1R w KQkq - 0 8,20,19,4
C07,"French Defense: Tarrasch Variation, Chistyakov Defense",rnb1kbnr/pp1q1ppp/4p3/8/2Bp4/5N2/PPPN1PPP/R1BQ1RK1 b kq - 3 7,9,15,4
C07,"French Defense: Tarrasch Variation, Chistyakov Defense",rnb1kbnr/pp3ppp/4p3/2pq4/3P4/8/PPPN1PPP/R1BQKBNR w KQkq - 0 5,13,25,9
C07,"French Defense: Tarrasch Variation, Chistyakov Defense",rnb1kbnr/pp3ppp/4p3/3q4/2Bp4/5N2/PPPN1PPP/R1BQK2R b KQkq - 1 6,15,31,9
C07,"French Defense: Tarrasch Variation, Chistyakov Defense",rnb1kbnr/pp3ppp/4p3/2pq4/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq - 1 5,11,22,6
C07,"French Defense: Tarrasch Variation, Chistyakov Defense",r1b1kbnr/pp1q1ppp/2n1p3/8/2Bp4/5N2/PPPN1PPP/R1BQ1RK1 w kq - 4 8,9,14,2
C07,"French Defense: Tarrasch Variation, Chistyakov Defense",rnbqkbnr/pp3ppp/4p3/2pP4/3P4/8/PPPN1PPP/R1BQKBNR b KQkq - 0 4,15,30,10
C07,"French Defense: Tarrasch Variation, Chistyakov Defense",rnb1kbnr/pp1q1ppp/4p3/8/2Bp4/5N2/PPPN1PPP/R1BQK2R w KQkq - 2 7,9,16,4
C07,"French Defense: Tarrasch Variation, Chistyakov Defense",rnb1kbnr/pp3ppp/4p3/3q4/3p4/5N2/PPPN1PPP/R1BQKB1R w KQkq - 0 6,14,32,9
C05,"French Defense: Tarrasch Variation, Closed Variation",rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/3B4/PPPN1PPP/R1BQK1NR b KQkq - 2 5,18,16,0
C05,"French Defense: Tarrasch Variation, Closed Variation",rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P4/2PB4/PP1N1PPP/R1BQK1NR b KQkq - 0 6,18,15,0
C05,"French Defense: Tarrasch Variation, Closed Variation",rnbqkb1r/ppp2ppp/4pn2/3pP3/3P4/8/PPPN1PPP/R1BQKBNR b KQkq - 0 4,39,34,1
C05,"French Defense: Tarrasch Variation, Closed Variation",rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P4/3B4/PPPN1PPP/R1BQK1NR w KQkq - 0 6,15,15,0
C05,"French Defense: Tarrasch Variation, Closed Variation",rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/2P5/PP1N2PP/R1BQKBNR b KQkq - 0 6,15,12,1
C05,"French Defense: Tarrasch Variation, Closed Variation",rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 2 4,39,34,1
C05,"French Defense: Tarrasch Variation, Closed Variation",rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/8/PPPN1PPP/R1BQKBNR w KQkq - 1 5,37,30,1
C04,"French Defense: Tarrasch Variation, Guimard Defense, Main Line",r1bqkb1r/pppn1ppp/2n1p3/3pP3/3P4/5N2/PPPN1PPP/R1BQKB1R w KQkq - 1 6,12,12,1
C04,"French Defense: Tarrasch Variation, Guimard Defense, Main Line",r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 2 4,12,12,1
C04,"French Defense: Tarrasch Variation, Guimard Defense, Main Line",r1bqkb1r/ppp2ppp/2n1pn2/3pP3/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq - 0 5,12,12,1
C04,"French Defense: Tarrasch Variation, Guimard Defense, Main Line",r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/5N2/PPPN1PPP/R1BQKB1R b KQkq - 3 4,12,12,1
C04,"French Defense: Tarrasch Variation, Guimard Defense, Main Line",r1bqkb1r/ppp2ppp/2n1pn2/3p4/3PP3/5N2/PPPN1PPP/R1BQKB1R w KQkq - 4 5,12,12,1
C07,"French Defense: Tarrasch Variation, Open System",rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,540,589,222
C07,"French Defense: Tarrasch Variation, Open System",rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4,33,67,21
C07,"French Defense: Tarrasch Variation, Open System",rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq - 1 3,102,139,33
C07,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",rnb1kbnr/pp3ppp/3qp3/8/2Bp4/5N2/PPPN1PPP/R1BQK2R w KQkq - 2 7,6,15,4
C07,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",rnbqkbnr/pp3ppp/4p3/3p4/3NP3/8/PPPN1PPP/R1BQKB1R b KQkq - 0 5,11,13,6
C07,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/5N2/PPPN1PPP/R1BQKB1R b KQkq - 1 4,18,35,10
C07,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",rnbqkbnr/pp3ppp/4p3/3p4/3pP3/5N2/PPPN1PPP/R1BQKB1R w KQkq - 0 5,14,25,9
C19,"French Defense: Winawer Variation, Advance Variation",rnbqk2r/pp2nppp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR w KQkq - 1 7,25,29,5
C16,"French Defense: Winawer Variation, Advance Variation",rnbqk1nr/p1p2ppp/1p2p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 5,27,19,0
C18,"French Defense: Winawer Variation, Advance Variation",rnbqk1nr/pp3ppp/4p3/2ppP3/1b1P4/P1N5/1PP2PPP/R1BQKBNR b KQkq - 0 5,43,41,22
C18,"French Defense: Winawer Variation, Advance Variation",rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,109,90,25
C18,"French Defense: Winawer Variation, Advance Variation",rnbqk1nr/pp3ppp/4p3/2ppP3/1b1P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 5,55,49,24
C18,"French Defense: Winawer Variation, Advance Variation",rnbqk1nr/pp3ppp/4p3/2ppP3/3P4/P1b5/1PP2PPP/R1BQKBNR w KQkq - 0 6,38,36,17
C18,"French Defense: Winawer Variation, Advance Variation",rnbqk1nr/pp3ppp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR b KQkq - 0 6,38,36,17
C15,"French Defense: Winawer Variation, Alekhine Gambit, Kan Variation",rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4,127,113,36
C16,"French Defense: Winawer Variation, Petrosian Variation",rnb1k1nr/pppq1ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5,21,13,0
C19,"French Defense: Winawer Variation, Poisoned Pawn Variation",rnbqk2r/pp2nppp/4p3/2ppP3/3P2Q1/P1P5/2P2PPP/R1B1KBNR b KQkq - 2 7,16,18,2
D85,"Grünfeld Defense: Exchange Variation",rnbqkb1r/ppp1pp1p/6p1/8/3PP3/2P5/P4PPP/R1BQKBNR b KQkq - 0 6,27,31,13
D85,"Grünfeld Defense: Exchange Variation",rnbqk2r/ppp1ppbp/6p1/8/3PP3/2P5/P4PPP/R1BQKBNR w KQkq - 1 7,27,30,13
D85,"Grünfeld Defense: Exchange Variation",rnbqkb1r/ppp1pp1p/5np1/3P4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq - 0 4,29,42,15
D85,"Grünfeld Defense: Exchange Variation",rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,70,86,37
D85,"Grünfeld Defense: Exchange Variation",rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,30,42,15
D85,"Grünfeld Defense: Exchange Variation",rnbqkb1r/ppp1pp1p/6p1/3n4/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 5,27,31,13
D85,"Grünfeld Defense: Exchange Variation",rnbqkb1r/ppp1pp1p/6p1/8/3PP3/2n5/PP3PPP/R1BQKBNR w KQkq - 0 6,27,31,13
D85,"Grünfeld Defense: Exchange Variation, Modern Exchange Variation",rnbqk2r/ppppppbp/5np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,44,54,14
D85,"Grünfeld Defense: Exchange Variation, Modern Exchange Variation",rnbqk2r/ppp1ppbp/6p1/8/3PP3/2P2N2/P4PPP/R1BQKB1R b KQkq - 0 7,17,28,10
D85,"Grünfeld Defense: Exchange Variation, Modern Exchange Variation",rnbqk2r/ppp1ppbp/5np1/3P4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,10,11,5
D85,"Grünfeld Defense: Exchange Variation, Modern Exchange Variation",rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,40,38,24
D85,"Grünfeld Defense: Exchange Variation, Modern Exchange Variation",rnbqk2r/ppp1ppbp/6p1/3n4/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 6,9,11,5
D85,"Grünfeld Defense: Exchange Variation, Modern Exchange Variation",rnbqk2r/ppp1ppbp/6p1/3n4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,10,12,5
D85,"Grünfeld Defense: Exchange Variation, Modern Exchange Variation",rnbqk2r/pp2ppbp/6p1/2p5/3PP3/2P2N2/P4PPP/R1BQKB1R w KQkq - 0 8,13,27,10
D94,"Grünfeld Defense: Opocensky Variation",rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 4,30,26,22
A00,"Hungarian Opening: Sicilian Invitation",rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,35,34,20
A45,"Indian Defense",rnbqkb1r/pppppppp/5n2/8/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,33,25,26
A45,"Indian Defense",rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4,12,10,12
A45,"Indian Defense",rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 0 4,9,8,13
E10,"Indian Defense: Anti-Nimzo-Indian",rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,28,26,18
E10,"Indian Defense: Anti-Nimzo-Indian",rnbqk2r/1pp2ppp/4pn2/p2p4/1bPP4/5NP1/PP1BPPBP/RN1QK2R b KQkq - 1 6,10,8,7
E10,"Indian Defense: Anti-Nimzo-Indian",rnbqk2r/1pp2ppp/4pn2/p2p4/1bPP4/5NP1/PP1BPP1P/RN1QKB1R w KQkq - 0 6,10,10,8
E10,"Indian Defense: Anti-Nimzo-Indian",rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 4,26,22,13
E10,"Indian Defense: Anti-Nimzo-Indian",rnbq1rk1/1pp2ppp/4pn2/p2p4/1bPP4/5NP1/PP1BPPBP/RN1QK2R w KQ - 2 7,12,8,7
E10,"Indian Defense: Anti-Nimzo-Indian",rnbqk2r/pp2bppp/2p2n2/3p4/3P1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 7,10,10,6
A51,"Indian Defense: Budapest Defense",rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,16,18,1
A52,"Indian Defense: Budapest Defense, Adler Variation",rnbqkb1r/pppp1ppp/5n2/4P3/2P5/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,16,17,1
A46,"Indian Defense: London System",rnbqkb1r/pppp1ppp/4pn2/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,30,32,20
A46,"Indian Defense: London System",rnbqkb1r/pp3ppp/4pn2/2pp4/3P1B2/4PN2/PPPN1PPP/R2QKB1R b KQkq - 1 5,18,19,10
A46,"Indian Defense: London System",rnbqkbnr/pppp1ppp/4p3/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,14,15,12
A46,"Indian Defense: London System",rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,13,9,12
A46,"Indian Defense: London System",r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/4PN2/PPPN1PPP/R2QKB1R w KQkq - 2 6,16,20,15
A50,"Indian Defense: Normal Variation",rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,392,493,253
A50,"Indian Defense: Normal Variation",rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,846,1161,607
A50,"Indian Defense: Normal Variation",rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,1538,1941,855
A50,"Indian Defense: Normal Variation",rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,1953,2444,1164
A43,"Indian Defense: Pseudo-Benko",rnbqkb1r/pp1ppppp/5n2/2p5/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,23,13,7
A43,"Indian Defense: Pseudo-Benko",rnbqkb1r/pp1ppppp/5n2/2pP4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 3,18,10,4
A45,"Indian Defense: Tartakower Attack",rnbqkb1r/pppppppp/5n2/8/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq - 0 2,11,13,8
C50,"Italian Game",r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,392,411,257
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq - 0 6,13,13,9
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 0 6,27,40,13
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",r1bqk2r/1pp2ppp/p1np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq - 0 7,21,20,12
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,25,22,7
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq - 0 6,63,64,31
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",r1bqk2r/bpp2ppp/p1np1n2/4p3/P1B1P3/2PP1N2/1P3PPP/RNBQ1RK1 w kq - 1 8,18,12,8
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w - - 2 7,20,17,5
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq - 0 5,56,59,24
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQ - 1 6,14,9,7
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 6 5,19,25,8
C54,"Italian Game: Classical Variation, Giuoco Pianissimo",r1bqk2r/1pp2ppp/p1np1n2/2b1p3/P1B1P3/2PP1N2/1P3PPP/RNBQ1RK1 b kq - 0 7,19,14,8
C54,"Italian Game: Classical Variation, Giuoco Pianissimo, with a5",r1bqk2r/1pp2ppp/2np1n2/p1b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq - 0 7,34,30,18
C54,"Italian Game: Classical Variation, Giuoco Pianissimo, with d6",r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq - 0 6,62,39,34
C54,"Italian Game: Classical Variation, Giuoco Pianissimo, with d6",r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5,65,69,45
C54,"Italian Game: Classical Variation, Giuoco Pianissimo, with d6",r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq - 0 5,95,69,58
C54,"Italian Game: Classical Variation, Giuoco Pianissimo, with d6",r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4,73,78,47
C54,"Italian Game: Classical Variation, Giuoco Pianissimo, with h6",r1bqk2r/ppp2pp1/2np1n1p/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq - 0 7,11,12,7
C54,"Italian Game: Classical Variation, Greco Gambit, Traditional Line",r1bqk2r/pppp1ppp/2n2n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 5,13,24,9
C54,"Italian Game: Classical Variation, Greco Gambit, Traditional Line",r1bqk2r/pppp1ppp/2n2n2/2b5/2BpP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 6,13,24,10
C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6,8,16,10
C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 2 5,25,41,17
C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,126,113,68
C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6,8,14,4
C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,50,53,29
C50,"Italian Game: Giuoco Pianissimo, Normal",r1bqk2r/1pp2ppp/2np1n2/p1b1p3/2B1P3/2PP1N2/PP3PPP/RNBQR1K1 b kq - 1 7,18,22,14
C50,"Italian Game: Giuoco Pianissimo, Normal",r1bqk2r/ppp2pp1/2np1n1p/2b1p3/2B1P2B/2PP1N2/PP3PPP/RN1QK2R b KQkq - 0 7,18,5,8
C50,"Italian Game: Giuoco Piano",r1bq1rk1/1pp2pp1/2np1n1p/p1b1p3/2B1P3/2PP1N1P/PP1N1PP1/R1BQR1K1 b - - 1 9,15,15,4
C50,"Italian Game: Giuoco Piano",r1bq1rk1/1pp2ppp/2np1n2/p1b1p3/2B1P3/2PP1N2/PP3PPP/RNBQR1K1 w - - 0 8,15,12,9
C50,"Italian Game: Giuoco Piano",r1bq1rk1/1pp2pp1/2np1n1p/p1b1p3/2B1P3/2PP1N1P/PP3PP1/RNBQR1K1 w - - 0 9,17,17,4
C50,"Italian Game: Giuoco Piano",r1bq1rk1/1pp2ppp/2np1n2/p1b1p3/2B1P3/2PP1N1P/PP3PP1/RNBQR1K1 b - - 1 8,15,13,8
C50,"Italian Game: Giuoco Piano",r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4,23,31,8
C50,"Italian Game: Giuoco Piano",r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w - - 3 6,20,17,6
C50,"Italian Game: Giuoco Piano",r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,157,176,89
C50,"Italian Game: Paris Defense",r1bqkbnr/ppp2ppp/2np4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,11,11,18
C56,"Italian Game: Scotch Gambit, Anderssen Attack",r1bqkb1r/pppp1ppp/2n2n2/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 5,11,12,11
C56,"Italian Game: Scotch Gambit, Anderssen Attack",r1bqkbnr/pppp1ppp/2n5/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4,7,12,11
C56,"Italian Game: Scotch Gambit, Max Lange Attack",r1bqkb1r/pppp1ppp/2n2n2/4P3/2Bp4/5N2/PPP2PPP/RNBQK2R b KQkq - 0 5,9,10,11
C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",r1bqkb1r/pppp1pp1/2n2n1p/4p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq - 0 5,10,11,12
C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",r1bqkb1r/pppp1pp1/2n2n1p/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,25,37,31
C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",r1bqk2r/ppppbppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq - 2 5,48,54,30
C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,219,216,150
C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",r1bq1rk1/ppppbppp/2n2n2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b - - 4 6,11,20,7
C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,185,185,130
C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",r1bqkb1r/ppp2pp1/2np1n1p/4p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 0 6,6,14,9
